"","gene_id","gene_name","seq_name","gene_biotype","description"
"1","ENSDARG00000099104","rpl24","1","protein_coding","ribosomal protein L24 [Source:ZFIN;Acc:ZDB-GENE-020419-25]"
"2","ENSDARG00000102407","cep97","1","protein_coding","centrosomal protein 97 [Source:ZFIN;Acc:ZDB-GENE-031030-11]"
"3","ENSDARG00000102097","NFKBIZ","1","protein_coding","NFKB inhibitor zeta [Source:HGNC Symbol;Acc:HGNC:29805]"
"4","ENSDARG00000099319","","1","protein_coding","NULL"
"5","ENSDARG00000099640","eed","1","protein_coding","embryonic ectoderm development [Source:ZFIN;Acc:ZDB-GENE-050417-287]"
"6","ENSDARG00000104071","hikeshi","1","protein_coding","heat shock protein nuclear import factor hikeshi [Source:ZFIN;Acc:ZDB-GENE-050417-34]"
"7","ENSDARG00000102746","tmem39a","1","protein_coding","transmembrane protein 39A [Source:ZFIN;Acc:ZDB-GENE-030131-1928]"
"8","ENSDARG00000103929","ildr1a","1","protein_coding","immunoglobulin-like domain containing receptor 1a [Source:ZFIN;Acc:ZDB-GENE-040426-1412]"
"9","ENSDARG00000101073","","1","protein_coding","NULL"
"10","ENSDARG00000100223","gpa33a","1","protein_coding","glycoprotein A33 (transmembrane), paralog a [Source:ZFIN;Acc:ZDB-GENE-080229-4]"
"11","ENSDARG00000096573","","1","antisense","NULL"
"12","ENSDARG00000100782","f7l","1","protein_coding","coagulation factor VII, like [Source:ZFIN;Acc:ZDB-GENE-070424-102]"
"13","ENSDARG00000034862","f7","1","protein_coding","coagulation factor VII [Source:ZFIN;Acc:ZDB-GENE-010814-1]"
"14","ENSDARG00000075827","f7i","1","protein_coding","coagulation factor VIIi [Source:ZFIN;Acc:ZDB-GENE-021206-10]"
"15","ENSDARG00000088581","f10","1","protein_coding","coagulation factor X [Source:ZFIN;Acc:ZDB-GENE-021206-9]"
"16","ENSDARG00000076900","prozb","1","protein_coding","protein Z, vitamin K-dependent plasma glycoprotein b [Source:ZFIN;Acc:ZDB-GENE-120816-1]"
"17","ENSDARG00000013802","pcid2","1","protein_coding","PCI domain containing 2 [Source:ZFIN;Acc:ZDB-GENE-041114-79]"
"18","ENSDARG00000096578","cul4a","1","protein_coding","cullin 4A [Source:ZFIN;Acc:ZDB-GENE-040426-1357]"
"19","ENSDARG00000109848","","1","protein_coding","NULL"
"20","ENSDARG00000100181","","1","protein_coding","NULL"
"21","ENSDARG00000029936","grtp1a","1","protein_coding","growth hormone regulated TBC protein 1a [Source:ZFIN;Acc:ZDB-GENE-040426-2733]"
"22","ENSDARG00000041589","adprhl1","1","protein_coding","ADP-ribosylhydrolase like 1 [Source:NCBI gene (formerly Entrezgene);Acc:450012]"
"23","ENSDARG00000041592","dcun1d2b","1","protein_coding","DCN1, defective in cullin neddylation 1, domain containing 2b [Source:ZFIN;Acc:ZDB-GENE-040625-171]"
"24","ENSDARG00000075108","TMCO3","1","protein_coding","transmembrane and coiled-coil domains 3 [Source:HGNC Symbol;Acc:HGNC:20329]"
"25","ENSDARG00000016304","tfdp1b","1","protein_coding","transcription factor Dp-1, b [Source:ZFIN;Acc:ZDB-GENE-040426-1746]"
"26","ENSDARG00000058803","grk1a","1","protein_coding","G protein-coupled receptor kinase 1 a [Source:ZFIN;Acc:ZDB-GENE-050823-1]"
"27","ENSDARG00000063385","cenpe","1","protein_coding","centromere protein E [Source:ZFIN;Acc:ZDB-GENE-060929-860]"
"28","ENSDARG00000007804","gas6","1","protein_coding","growth arrest-specific 6 [Source:ZFIN;Acc:ZDB-GENE-030131-7773]"
"29","ENSDARG00000068261","pros1","1","protein_coding","protein S [Source:ZFIN;Acc:ZDB-GENE-061013-657]"
"30","ENSDARG00000063371","RASA3","1","protein_coding","RAS p21 protein activator 3 [Source:HGNC Symbol;Acc:HGNC:20331]"
"31","ENSDARG00000078751","TPP2","1","protein_coding","tripeptidyl peptidase 2 [Source:HGNC Symbol;Acc:HGNC:12016]"
"32","ENSDARG00000078878","METTL21C","1","protein_coding","methyltransferase 21C, AARS1 lysine [Source:HGNC Symbol;Acc:HGNC:33717]"
"33","ENSDARG00000016343","mettl21e","1","protein_coding","methyltransferase like 21e [Source:ZFIN;Acc:ZDB-GENE-040718-53]"
"34","ENSDARG00000023678","","1","protein_coding","NULL"
"35","ENSDARG00000011299","blzf1","1","protein_coding","basic leucine zipper nuclear factor 1 [Source:ZFIN;Acc:ZDB-GENE-010724-1]"
"36","ENSDARG00000041575","trmt10c","1","protein_coding","tRNA methyltransferase 10C, mitochondrial RNase P subunit [Source:ZFIN;Acc:ZDB-GENE-041114-12]"
"37","ENSDARG00000058962","txnl4b","1","protein_coding","thioredoxin-like 4B [Source:ZFIN;Acc:ZDB-GENE-051030-63]"
"38","ENSDARG00000089799","si:ch73-41e3.7","1","protein_coding","si:ch73-41e3.7 [Source:ZFIN;Acc:ZDB-GENE-090313-163]"
"39","ENSDARG00000075325","mrpl16","1","protein_coding","mitochondrial ribosomal protein L16 [Source:ZFIN;Acc:ZDB-GENE-041122-1]"
"40","ENSDARG00000041570","cenpq","1","protein_coding","centromere protein Q [Source:ZFIN;Acc:ZDB-GENE-200617-1]"
"42","ENSDARG00000113329","","1","protein_coding","NULL"
"43","ENSDARG00000081781","mir155","1","miRNA","microRNA 155 [Source:ZFIN;Acc:ZDB-MIRNAG-090929-166]"
"44","ENSDARG00000058996","jam2a","1","protein_coding","junctional adhesion molecule 2a [Source:ZFIN;Acc:ZDB-GENE-031204-3]"
"45","ENSDARG00000014313","atp5pf","1","protein_coding","ATP synthase peripheral stalk subunit F6 [Source:ZFIN;Acc:ZDB-GENE-040426-2534]"
"46","ENSDARG00000104279","appa","1","protein_coding","amyloid beta (A4) precursor protein a [Source:ZFIN;Acc:ZDB-GENE-000616-13]"
